channel,X,Y,Z
44.0,532.3516751055191,-872.9169999999999,497.47068038721034
45.0,397.7339618579478,-914.3989999999999,580.0
46.0,422.15298072183936,-914.3989999999999,671.1330190710261
47.0,488.8669809289738,-914.3989999999999,737.8470192781606
48.0,579.9999999999999,-914.3989999999999,762.2660381420521
49.0,671.133019071026,-914.3989999999999,737.8470192781606
50.0,737.8470192781606,-914.3989999999999,671.1330190710261
51.0,762.2660381420521,-914.3989999999999,580.0
52.0,737.8470192781606,-914.3989999999999,488.86698092897404
53.0,671.1330190710262,-914.3989999999999,422.15298072183947
54.0,580.0000000000001,-914.3989999999999,397.7339618579479
55.0,488.8669809289739,-914.3989999999999,422.15298072183947
56.0,422.15298072183936,-914.3989999999999,488.8669809289739
57.0,580.0,-858.6749999999997,5.480060849549773e-14
58.0,675.2966497889616,-872.9169999999997,7.497919665885907e-14
59.0,627.6483248944809,-872.9169999999997,-82.52931961278966
60.0,532.3516751055192,-872.9169999999997,-82.5293196127897
61.0,484.7033502110383,-872.9169999999998,1.6626828092099988e-14
62.0,532.3516751055191,-872.9169999999998,82.52931961278975
63.0,627.6483248944808,-872.9169999999998,82.5293196127898
64.0,762.2660381420521,-914.3989999999997,8.7069698971442e-14
65.0,737.8470192781606,-914.3989999999997,-91.13301907102597
66.0,671.1330190710262,-914.3989999999997,-157.84701927816053
67.0,580.0000000000001,-914.3989999999997,-182.2660381420521
68.0,488.866980928974,-914.3989999999998,-157.84701927816064
69.0,422.15298072183936,-914.3989999999998,-91.13301907102606
70.0,397.7339618579478,-914.3989999999998,-2.4536061130524785e-14
71.0,422.15298072183924,-914.3989999999999,91.13301907102603
72.0,488.86698092897376,-914.3989999999999,157.84701927816056
73.0,579.9999999999999,-914.3989999999998,182.26603814205217
74.0,671.1330190710261,-914.3989999999998,157.84701927816064
75.0,737.8470192781606,-914.3989999999998,91.13301907102624
76.0,580.0,-858.6749999999996,-580.0
77.0,675.2966497889616,-872.9169999999996,-580.0
78.0,627.6483248944809,-872.9169999999996,-662.5293196127898
79.0,532.3516751055192,-872.9169999999997,-662.5293196127898
80.0,484.7033502110383,-872.9169999999997,-580.0
81.0,532.3516751055191,-872.9169999999997,-497.4706803872103
82.0,627.6483248944808,-872.9169999999997,-497.47068038721017
83.0,762.2660381420521,-914.3989999999995,-580.0
84.0,737.8470192781606,-914.3989999999995,-671.133019071026
85.0,671.1330190710262,-914.3989999999995,-737.8470192781606
86.0,580.0000000000001,-914.3989999999995,-762.2660381420521
87.0,488.866980928974,-914.3989999999997,-737.8470192781607
88.0,422.15298072183936,-914.3989999999997,-671.1330190710261
89.0,397.7339618579478,-914.3989999999997,-580.0000000000001
90.0,422.15298072183924,-914.3989999999997,-488.866980928974
91.0,488.86698092897376,-914.3989999999997,-422.1529807218394
92.0,579.9999999999999,-914.3989999999997,-397.7339618579478
93.0,671.1330190710261,-914.3989999999997,-422.15298072183936
94.0,737.8470192781606,-914.3989999999997,-488.86698092897376
95.0,-5.480060849549773e-14,-858.6749999999997,-580.0
96.0,95.29664978896157,-872.9169999999997,-580.0
97.0,47.64832489448081,-872.9169999999997,-662.5293196127898
98.0,-47.64832489448082,-872.9169999999997,-662.5293196127898
99.0,-95.29664978896169,-872.9169999999998,-580.0
100.0,-47.648324894480915,-872.9169999999998,-497.4706803872103
